"path","human","ground","auto","prosodic","ground_wer","ground_cer","auto_wer","auto_cer","prosodic_wer","prosodic_cer"
"SP_DID_234_seg_229.22_253.82.wav","bom um bom artista é o que desempenha o papel na peça de acordo com o que ele está está fazendo eu acho que o que ele está o papel que ele está desempenhando ah que eles eh a gente perceba que que realmente ele está trabalhando bem sei lá não sei tem tantos bons artistas","bom um bom artista é o que desempenha o papel na peça de acordo com o que ele está está fazendo eu acho que o que ele está o papel que ele está desempenhando ah que eles eh a gente perceba que realmente ele está trabalhando bem sei lá não sei tem tantos bons artistas","tão bom artista é o que desempenha o papel na peça vê todo o colombelo eles traz rastros lá assim óleo vim de gente vira ele vindo assim e a gente as crianças pequenas e viram a gente as suas rastres","dom um bom artista",0.0179,0.0148,0.7500,0.5535,0.9464,0.9336
"SP_DID_234_seg_305.70_309.20.wav","a inês que tem assistido várias peças mas eu não tenho parei um pouco de ir agora","aí nesse que tenha sido várias peças mas eu não tenho parei um pouco de ir agora","aí que tem que levar a visita da casa assim só tem que aí","as buro e tem tem que tem as mas essas essas pessoas",0.2353,0.1358,0.8824,0.6790,0.9412,0.6790
"SP_DID_234_seg_413.92_427.90.wav","sei lá eu sabe o que eu a o que eu noto que o teatro agora eu posso dizendo isso que antigamente o pessoal ia a gente via eh casais agora não eu acho que vai mais estudante eu acho que o pessoal deixou de ir a teatro né?","sei lá eu sabe que eu que eu noto que o teatro agora eu posso dizer que antigamente o pessoal ia a gente via casais agora não eu acho que vai mais estudante eu acho que o pessoal deixou de ir a teatro né","se lá eu saber o que o homem é motor eu peguei a roda e o rio os pinhos que eu sou uma de água","se lá eu sabia que geovrô não tinha que ver né e os meus assim de as panas que nós nós falamos se eu mais de os lá",0.1429,0.0818,0.7959,0.6909,0.8367,0.6773
"SP_DID_234_seg_1146.79_1147.03.wav","fala","tando","fava","fala",1.0000,1.0000,1.0000,0.2500,0.0000,0.0000
"SP_DID_234_seg_1207.41_1208.51.wav","ai que horror","ai que horror","aí que eu vou","ah em que horror",0.0000,0.0000,1.0000,0.4615,0.6667,0.3077
"SP_DID_234_seg_170.73_171.68.wav","também palavrões","também palavrões","tó é meio","também",0.0000,0.0000,1.5000,0.8125,0.5000,0.6250
"SP_DID_234_seg_645.07_648.03.wav","aparece a a peça e é o que que tem quer ser realmente né","parece a peça e é o que que tem que ser realmente né","aparece a peça o que que tem que ser realmente né","aparece a peça e que ninguém quer que você realmente né",0.2143,0.0714,0.2857,0.1250,0.5000,0.3393
"SP_DID_234_seg_291.15_294.27.wav","agora eu tenho u a as minhas amigas vão vão sempre a teatro","agora eu tenho o a as minhas amigas vão vão sempre a teatro","agora eu tenho as minhas amidas","agora não tem manhas as rígias mas só uma",0.0769,0.0169,0.6154,0.4915,0.8462,0.6102
"SP_DID_234_seg_1723.99_1727.35.wav","e através de jornais só que o o o o teatro é divulgado","e através de jornais só que o o o o o teatro é divulgado","e através de jornais só que o o teatro é divulgado","e através de jornais só que eu roubo e vi",0.0769,0.0370,0.1538,0.0741,0.5385,0.3704
"SP_DID_234_seg_2098.09_2105.03.wav","e e o pessoal fica acomodado em casa assistindo filmes que que p não precisa sair de casa por isso que eu acho que a televisão prende bastante né","e e o pessoal fica acomodado em casa assistindo filmes que que não precisa sair de casa por isso que eu acho que a televisão prende bastante né","e o pessoal fica acomodado em preparativo e esse aqui nunca pedindo a oficina na","e o pessoal fica acomodado em casar às vezes de que não se fala casar com muitos quilos",0.0345,0.0138,0.7586,0.6000,0.7241,0.5310
"SP_DID_234_seg_2052.53_2054.78.wav","eu nem nem sei eu não tenho ido quase a cinema né","eu nem nem sei eu não tenho ido quase assim","realmente mesmo esse eu tenho ido quase assim mesmo né","e eu nem nem sei eu não tenho ido quase assim mesmo né",0.2500,0.1633,0.5833,0.4898,0.2500,0.1837
"SP_DID_234_seg_1728.14_1732.14.wav","eu não acho que eh eh haja muita divulgação do teatro","eu não acho que haja muita divulgação do teatro","eu não acho que haja muita divulgação do apirá trato","eu não acho que haja muita divulgação do teatro",0.1818,0.1132,0.3636,0.2642,0.1818,0.1132
"SP_DID_234_seg_365.34_366.35.wav","casa de bonecas sim","casa de boneca sim","casar de boneta assim","casada é boneca sim",0.2500,0.0526,0.7500,0.2632,0.7500,0.2632
"SP_DID_234_seg_156.97_157.19.wav","é","é","foi","é",0.0000,0.0000,1.0000,3.0000,0.0000,0.0000
"SP_DID_234_seg_1062.34_1063.44.wav","eu assisti faz tempo já","eu assisti faz tempo já","eu assisto e faz tempo puxa","eu assisti faz tempo já",0.0000,0.0000,0.6000,0.3043,0.0000,0.0000
"SP_DID_234_seg_1560.80_1562.37.wav","eu acho que teatro está bem mais caro","eu acho que teatro está bem mais caro","eu acho que que a pró está bem mais caro","eu acho que teatro está bem mais caro",0.0000,0.0000,0.3750,0.1622,0.0000,0.0000
"SP_DID_234_seg_678.40_690.46.wav","deve ser o tipo de trabalho como o o trabalho na televisão o o pessoal que que entra em cena o o pessoal de de música de de fundo sonoro que eles chamam né?","deve ser o tipo de trabalho como o trabalho na televisão o pessoal que que entre em cena o pessoal de de de música de fundo sonoro que eles chamam né","deve ser ou te poder trabalhar ou ou ou trabalhando na","deve ser o tipo de trabalho o senhor não é nada de visão assim eu vou só eu não sei se eu não existir não",0.2059,0.0897,0.9118,0.7179,0.7941,0.5641
"SP_DID_234_seg_182.03_184.71.wav","achei um cenário uma coisa ah ótima","achei um cenário uma coisa ótima","achei um cenário uma coisa ótima","achei um cenário uma coisa ótima",0.1429,0.0857,0.1429,0.0857,0.1429,0.0857
"SP_DID_234_seg_1529.96_1532.20.wav","ainda eu acho que é o cinema pelo público né","ainda eu acho que é cinema pelo público né","ainda eu acho que é o senhor ainda pelo o que eu","ainda eu acho que é o cinema pelo publicou né",0.1000,0.0455,0.5000,0.4318,0.1000,0.0455
"SP_DID_234_seg_507.59_511.58.wav","eu tenho impressão que é uma um trabalho árduo é uma luta tremenda né","eu tenho a impressão que é uma um trabalho árduo é uma luta tremenda né","eu tenho a impressão que eu vou voltar naquela lado eu não arrumava o","eu tenho a impressão que é um trabalho árvore é uma luta tremenda né",0.0714,0.0290,0.7857,0.5362,0.2143,0.1449
"SP_DID_234_seg_1835.18_1838.15.wav","você encontra estudante você encontra pessoa de idade","você encontra estudante você encontra pessoa de idade","você encontra estudantes você encontra a pessoa da idade","você encontra estudante e se encontra a pessoa da idade",0.0000,0.0000,0.3750,0.0755,0.5000,0.1321
"SP_DID_234_seg_195.07_195.98.wav","eu acho que foi","eu acho que foi","eu acho que foi","eu acho que foi",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
